City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,albany,42.6001,-73.9662,76.8,90,42,3.0,US,1690506374
32,edinburgh of the seven seas,-37.0676,-12.3116,49.8,49,15,3.51,SH,1690506670
33,missoula,47.0166,-113.8009,76.84,27,1,7.99,US,1690506596
34,naze,28.3667,129.4833,79.97,84,84,14.76,JP,1690506670
35,tsiombe,-25.3,45.4833,61.52,84,0,8.14,MG,1690506671
36,puerto natales,-51.7236,-72.4875,25.84,87,100,3.44,CL,1690506671
37,blackmans bay,-43.0167,147.3167,58.73,61,0,8.39,AU,1690506672
38,fale old settlement,-9.3852,-171.2468,82.09,78,16,16.02,TK,1690506672
39,yazd,31.8972,54.3675,87.15,16,63,0.92,IR,1690506672
40,bethel,41.3712,-73.414,77.31,87,20,0.0,US,1690506545
41,fort st. john,56.2499,-120.8529,63.64,58,74,9.57,CA,1690506673
42,chonchi,-42.6128,-73.8092,50.13,99,100,3.89,CL,1690506674
43,joutseno,61.118,28.5076,56.53,93,100,1.77,FI,1690506674
44,kantharalak,14.6406,104.6499,80.24,81,100,8.61,TH,1690506675
45,lihue,21.9789,-159.3672,87.04,67,40,16.11,US,1690506675
46,taksimo,56.3444,114.8794,71.78,72,100,0.85,RU,1690506676
47,iuna,-20.3458,-41.5358,61.3,78,0,2.04,BR,1690506676
48,ati,13.2154,18.3353,82.96,59,65,9.31,TD,1690506677
49,coro,11.4045,-69.6734,80.28,83,19,16.2,VE,1690506600
50,new norfolk,-42.7826,147.0587,59.92,59,0,9.26,AU,1690506677
51,east london,-33.0153,27.9116,58.93,82,0,9.22,ZA,1690506678
52,tauberbischofsheim,49.6247,9.6628,63.57,96,100,9.73,DE,1690506678
53,georgetown,5.4112,100.3354,82.33,89,20,0.0,MY,1690506450
54,khodoriv,49.4066,24.3136,49.5,86,2,3.15,UA,1690506679
55,la passe,45.5549,-0.8967,67.98,91,98,11.5,FR,1690506680
56,luwuk,-0.9516,122.7875,80.65,79,70,7.02,ID,1690506680
57,bredasdorp,-34.5322,20.0403,48.15,90,0,3.47,ZA,1690506681
58,morondava,-20.2833,44.2833,65.01,53,0,6.82,MG,1690506681
59,sur,22.5667,59.5289,83.71,72,100,6.53,OM,1690506681
60,waitangi,-43.9535,-176.5597,49.82,87,100,8.01,NZ,1690506682
61,nishinoomote,30.7333,131.0,82.81,82,76,15.08,JP,1690506682
62,anapa,44.8908,37.3239,73.74,83,20,11.18,RU,1690506683
63,bandon,51.7469,-8.7425,58.59,88,100,4.32,IE,1690506683
64,agramunt,41.7869,1.0968,64.58,74,8,2.68,ES,1690506684
65,ribeira grande,38.5167,-28.7,73.78,96,27,1.99,PT,1690506684
66,tiksi,71.6872,128.8694,49.1,61,79,7.87,RU,1690506685
67,imst,47.2684,10.6698,45.25,81,0,5.66,AT,1690506685
68,mahikeng,-25.8652,25.6442,51.78,62,1,8.05,ZA,1690506685
69,borba,-4.3878,-59.5939,80.4,50,0,1.43,BR,1690506686
70,saint-francois,46.4154,3.9054,62.04,82,0,3.44,FR,1690506686
71,rongelap,11.1635,166.8941,83.44,80,100,19.73,MH,1690506687
72,ulladulla,-35.35,150.4667,68.99,43,52,9.75,AU,1690506687
73,egilsstadir,65.2653,-14.3948,44.51,100,75,8.05,IS,1690506688
74,iskateley,67.6803,53.1512,56.89,88,100,7.47,RU,1690506688
75,paulo afonso,-9.4061,-38.2147,68.59,86,17,5.88,BR,1690506554
76,thompson,55.7435,-97.8558,57.24,64,100,3.49,CA,1690506689
77,punta arenas,-53.15,-70.9167,28.8,84,100,5.73,CL,1690506690
78,longyearbyen,78.2186,15.6401,48.04,76,75,11.5,SJ,1690506690
79,bada,51.392,109.8717,60.71,94,100,4.97,RU,1690506691
